movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age,older_gender
Old School,2003,Todd Phillips,7,2,Craig Kilborn,Ellen Pompeo,man,woman,22882,1969-11-10T00:00:00Z,41,34,man older
Remember the Titans,2000,Boaz Yakin,7,2,Ryan Hurst,Kate Bosworth,man,woman,27930,1983-01-02T00:00:00Z,24,17,man older
Road House,1989,Rowdy Herrington,7,1,Patrick Swayze,Kelly Lynch,man,woman,19224,1959-01-31T00:00:00Z,37,30,man older
Serendipity,2001,Peter Chelsom,7,1,John Cusack,Kate Beckinsale,man,woman,24286,1973-07-26T00:00:00Z,35,28,man older
Spider-Man,2002,Sam Raimi,7,1,Tobey Maguire,Kirsten Dunst,man,woman,27572,1982-04-30T00:00:00Z,27,20,man older
State of the Union,1948,Frank Capra,7,2,Spencer Tracy,Katharine Hepburn,man,woman,96,1907-05-12T00:00:00Z,48,41,man older
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,7,2,Will Ferrell,Leslie Bibb,man,woman,24669,1974-11-17T00:00:00Z,39,32,man older
That Thing You Do!,1996,Tom Hanks,7,2,Tom Everett Scott,Liv Tyler,man,woman,25818,1977-07-01T00:00:00Z,26,19,man older
The Book of Love,2017,Bill Purple,7,1,Jason Sudeikis,Jessica Biel,man,woman,27655,1982-03-03T00:00:00Z,42,35,man older
The Duchess,2008,Saul Dibb,7,3,Dominic Cooper,Keira Knightley,man,woman,28643,1985-03-26T00:00:00Z,30,23,man older
The Fast and the Furious,2001,Rob Cohen,7,2,Paul Walker,Jordana Brewster,man,woman,26919,1980-04-26T00:00:00Z,28,21,man older
The Hustler,1961,Robert Rossen,7,1,Paul Newman,Piper Laurie,man,woman,9158,1932-01-22T00:00:00Z,36,29,man older
The Promise,2016,Terry George,7,1,Oscar Isaac,Charlotte Le Bon,man,woman,28923,1986-09-04T00:00:00Z,37,30,man older
The Sting,1973,George Roy Hill,7,1,Paul Newman,Eileen Brennan,man,woman,9158,1932-09-03T00:00:00Z,48,41,man older
There's Something About Mary,1998,"Bobby Farrelly, Peter Farrelly",7,1,Ben Stiller,Cameron Diaz,man,woman,24076,1972-08-30T00:00:00Z,33,26,man older
Thunderball,1965,Terence Young,7,3,Sean Connery,Luciana Paluzzi,man,woman,11195,1937-06-10T00:00:00Z,35,28,man older
What Women Want,2000,Nancy Meyers,7,1,Mel Gibson,Helen Hunt,man,woman,20457,1963-06-15T00:00:00Z,44,37,man older
Wild Things,1998,John McNaughton,7,2,Matt Dillon,Denise Richards,man,woman,23425,1971-02-17T00:00:00Z,34,27,man older
A Beautiful Mind,2001,Ron Howard,6,1,Russell Crowe,Jennifer Connelly,man,woman,23474,1970-12-12T00:00:00Z,37,31,man older
A Star Is Born,1975,Frank Pierson,6,4,Kris Kristofferson,Barbra Streisand,man,woman,13323,1942-04-24T00:00:00Z,39,33,man older
A Walk to Remember,2002,Adam Shankman,6,1,Shane West,Mandy Moore,man,woman,28651,1984-04-10T00:00:00Z,24,18,man older
American Sniper,2014,Clint Eastwood,6,1,Bradley Cooper,Sienna Miller,man,woman,27399,1981-12-28T00:00:00Z,39,33,man older
An Officer and a Gentleman,1982,Taylor Hackford,6,1,Richard Gere,Debra Winger,man,woman,18141,1955-05-16T00:00:00Z,33,27,man older
Atonement,2007,Joe Wright,6,1,James McAvoy,Keira Knightley,man,woman,28966,1985-03-26T00:00:00Z,28,22,man older
Chasing Liberty,2004,Andy Cadiff,6,1,Matthew Goode,Mandy Moore,man,woman,28583,1984-04-10T00:00:00Z,26,20,man older
Chef,2014,Jon Favreau,6,1,Jon Favreau,Sofia Vergara,man,woman,24399,1972-07-10T00:00:00Z,48,42,man older
Desperado,1995,Robert Rodriguez,6,1,Antonio Banderas,Salma Hayek,man,woman,22138,1966-09-02T00:00:00Z,35,29,man older
Down to Earth,2001,"Paul Weitz, Chris Weitz",6,1,Chris Rock,Regina King,man,woman,23780,1971-01-15T00:00:00Z,36,30,man older
Dr. No,1962,Terence Young,6,1,Sean Connery,Ursula Andress,man,woman,11195,1936-03-19T00:00:00Z,32,26,man older
Empire,2002,Franc. Reyes,6,1,John Leguizamo,Delilah Cotto,man,woman,23580,1970-11-26T00:00:00Z,38,32,man older
Four Christmases,2008,Seth Gordon,6,1,Vince Vaughn,Reese Witherspoon,man,woman,25655,1976-03-21T00:00:00Z,38,32,man older
Funny People,2009,Judd Apatow,6,1,Adam Sandler,Leslie Mann,man,woman,24359,1972-03-26T00:00:00Z,43,37,man older
Garden State,2004,Zach Braff,6,1,Zach Braff,Natalie Portman,man,woman,27490,1981-06-09T00:00:00Z,29,23,man older
Hitch,2005,Andy Tennant,6,1,Will Smith,Eva Mendes,man,woman,25106,1974-03-05T00:00:00Z,37,31,man older
In Good Company,2004,Paul Weitz,6,1,Topher Grace,Scarlett Johansson,man,woman,28690,1984-11-22T00:00:00Z,26,20,man older
L'Avventura,1960,Michelangelo Antonioni,6,1,Gabriele Ferzetti,Monica Vitti,man,woman,9208,1931-11-03T00:00:00Z,35,29,man older
La Strada,1954,Federico Fellini,6,1,Anthony Quinn,Giulietta Masina,man,woman,5590,1921-02-22T00:00:00Z,39,33,man older
Meet Bill,2007,"Bernie Goldmann, Melisa Wallack",6,2,Aaron Eckhart,Elizabeth Banks,man,woman,24909,1974-02-10T00:00:00Z,39,33,man older
Meet Bill,2007,"Bernie Goldmann, Melisa Wallack",6,1,Timothy Olyphant,Elizabeth Banks,man,woman,24978,1974-02-10T00:00:00Z,39,33,man older
On Her Majesty's Secret Service,1969,Peter R. Hunt,6,1,George Lazenby,Angela Scoular,man,woman,14493,1945-11-08T00:00:00Z,30,24,man older
Prince of Persia: The Sands of Time,2010,Jordan Mechner,6,1,Jake Gyllenhaal,Gemma Arterton,man,woman,29574,1986-02-02T00:00:00Z,30,24,man older
Savages,2007,undefined,6,1,Taylor Kitsch,Blake Lively,man,woman,29684,1987-08-25T00:00:00Z,26,20,man older
Schindler's List,1993,Steven Spielberg,6,2,Ralph Fiennes,Magdalena Komornicka,man,woman,23002,1968-10-10T00:00:00Z,31,25,man older
Shutter Island,2010,Martin Scorsese,6,1,Leonardo DiCaprio,Michelle Williams,man,woman,27344,1980-09-09T00:00:00Z,36,30,man older
Sound of Music,1965,Robert Wise,6,1,Christopher Plummer,Julie Andrews,man,woman,10940,1935-10-01T00:00:00Z,36,30,man older
Stone,2010,John Curran,6,2,Edward Norton,Milla Jovovich,man,woman,25433,1975-12-17T00:00:00Z,41,35,man older
Summer Catch,2001,Michael Tollin,6,1,Freddie Prinze Jr.,Jessica Biel,man,woman,27827,1982-03-03T00:00:00Z,25,19,man older
The Age of Adaline,2015,Lee Toland Krieger,6,1,Michiel Huisman,Blake Lively,man,woman,29785,1987-08-25T00:00:00Z,34,28,man older
The Curious Case of Benjamin Button,2008,David Fincher,6,1,Brad Pitt,Cate Blanchett,man,woman,23363,1969-05-14T00:00:00Z,45,39,man older
The Devil Wears Prada,2006,David Frankel,6,2,Adrian Grenier,Anne Hathaway,man,woman,27951,1982-11-12T00:00:00Z,30,24,man older
The Godfather,1972,Francis Ford Coppola,6,2,Marlon Brando,Morgana King,man,woman,8860,1930-06-04T00:00:00Z,48,42,man older
The Godfather,1972,Francis Ford Coppola,6,1,Al Pacino,Diane Keaton,man,woman,14726,1946-01-05T00:00:00Z,32,26,man older
The Holiday,2006,Nancy Meyers,6,1,Jack Black,Kate Winslet,man,woman,25443,1975-10-05T00:00:00Z,37,31,man older
The Hollars,2016,John Krasinski,6,1,John Krasinski,Anna Kendrick,man,woman,29148,1985-08-09T00:00:00Z,37,31,man older
The King's Speech,2010,Tom Hooper,6,1,Colin Firth,Helena Bonham Carter,man,woman,22169,1966-05-26T00:00:00Z,50,44,man older
The Replacements,2000,Howard Deutch,6,1,Keanu Reeves,Brooke Langton,man,woman,23622,1970-11-27T00:00:00Z,36,30,man older
The Way We Were,1973,Sydney Pollack,6,1,Robert Redford,Barbra Streisand,man,woman,13380,1942-04-24T00:00:00Z,37,31,man older
W.,2008,Oliver Stone,6,1,Josh Brolin,Elizabeth Banks,man,woman,24880,1974-02-10T00:00:00Z,40,34,man older
Wedding Crashers,2005,David Dobkin,6,2,Vince Vaughn,Isla Fisher,man,woman,25655,1976-02-03T00:00:00Z,35,29,man older
Zoolander,2001,Ben Stiller,6,1,Ben Stiller,Christine Taylor,man,woman,24076,1971-07-30T00:00:00Z,36,30,man older
13 Going on 30,2004,Gary Winick,5,1,Mark Ruffalo,Jennifer Garner,man,woman,24798,1972-04-17T00:00:00Z,37,32,man older
27 Dresses,2008,Anne Fletcher,5,2,James Marsden,Katherine Heigl,man,woman,26925,1978-11-24T00:00:00Z,35,30,man older
A View to a Kill,1985,John Glen,5,5,Christopher Walken,Grace Jones,man,woman,15796,1948-05-19T00:00:00Z,42,37,man older
Adrift,2018,Baltasar Kormákur,5,1,Sam Claflin,Shailene Woodley,man,woman,31590,1991-11-15T00:00:00Z,32,27,man older
All About the Benjamins,2002,Kevin Bray,5,2,Ice Cube,Valarie Rae Miller,man,woman,25369,1974-04-16T00:00:00Z,33,28,man older
Armageddon,1998,Michael Bay,5,1,Ben Affleck,Liv Tyler,man,woman,26526,1977-07-01T00:00:00Z,26,21,man older
Blue Crush,2002,John Stockwell,5,1,Matthew Davis,Kate Bosworth,man,woman,28618,1983-01-02T00:00:00Z,24,19,man older
Captain America: Civil War,2016,Joe & Anthony Russo,5,1,Chris Evans,Emily VanCamp,man,woman,29750,1986-05-12T00:00:00Z,35,30,man older
Chips,2017,Dax Shepard,5,1,Dax Shepard,Kristen Bell,man,woman,27396,1980-07-18T00:00:00Z,42,37,man older
Cinderella Man,2005,Ron Howard,5,1,Russell Crowe,Renee Zellweger,man,woman,23474,1969-04-25T00:00:00Z,41,36,man older
Days of Thunder,1990,Tony Scott,5,1,Tom Cruise,Nicole Kidman,man,woman,22830,1967-06-20T00:00:00Z,28,23,man older
Dear John,2010,Lasse Hallström,5,1,Channing Tatum,Amanda Seyfried,man,woman,29337,1985-12-03T00:00:00Z,30,25,man older
Ed Wood,1994,Tim Burton,5,1,Johnny Depp,Patricia Arquette,man,woman,23171,1968-04-08T00:00:00Z,31,26,man older
Elizabethtown,2005,Cameron Crowe,5,1,Orlando Bloom,Kirsten Dunst,man,woman,28138,1982-04-30T00:00:00Z,28,23,man older
Evan Almighty,2007,Tom Shadyac,5,1,Steve Carell,Lauren Graham,man,woman,22874,1967-03-16T00:00:00Z,45,40,man older
Ex Machina,2014,Alex Garland,5,2,Domhnall Gleeson,Alicia Vikander,man,woman,30448,1988-10-03T00:00:00Z,31,26,man older
Forgetting Sarah Marshall,2008,Nicholas Stoller,5,1,Russell Brand,Kristen Bell,man,woman,27549,1980-07-18T00:00:00Z,33,28,man older
Here on Earth,2000,Mark Piznarski,5,1,Josh Hartnett,Leelee Sobieski,man,woman,28692,1983-06-10T00:00:00Z,22,17,man older
Jersey Girl,2004,Kevin Smith,5,1,Ben Affleck,Liv Tyler,man,woman,26526,1977-07-01T00:00:00Z,32,27,man older
L.A. Story,1991,Mick Jackson,5,2,Steve Martin,Victoria Tennant,man,woman,16663,1950-09-30T00:00:00Z,46,41,man older
Laggies,2014,Lynn Shelton,5,2,Mark Webber,Keira Knightley,man,woman,29421,1985-03-26T00:00:00Z,34,29,man older
Le Mans,1971,Lee H. Katzin,5,1,Steve McQueen,Elga Andersen,man,woman,11041,1935-02-02T00:00:00Z,41,36,man older
Legally Blonde,2001,Robert Luketic,5,2,Luke Wilson,Reese Witherspoon,man,woman,26197,1976-03-21T00:00:00Z,30,25,man older
Mona Lisa Smile,2003,Mike Newell,5,2,John Slattery,Julia Roberts,man,woman,22871,1967-10-28T00:00:00Z,41,36,man older
Mr. Deeds,2002,Steven Brill,5,1,Adam Sandler,Winona Ryder,man,woman,24359,1971-10-29T00:00:00Z,36,31,man older
On Her Majesty's Secret Service,1969,Peter R. Hunt,5,2,George Lazenby,Catherine Schell,man,woman,14493,1944-07-17T00:00:00Z,30,25,man older
P.S. I Love You,2007,Richard LaGravenese,5,2,Gerard Butler,Hilary Swank,man,woman,25520,1974-07-30T00:00:00Z,38,33,man older
Push,2009,Paul McGuigan,5,1,Chris Evans,Camilla Belle,man,woman,29750,1986-10-02T00:00:00Z,28,23,man older
Queen of the Damned,2002,Michael Rymer,5,1,Stuart Townsend,Marguerite Moreau,man,woman,26648,1977-04-25T00:00:00Z,30,25,man older
Romeo + Juliet,1996,Baz Luhrmann,5,1,Leonardo DiCaprio,Claire Danes,man,woman,27344,1979-04-12T00:00:00Z,22,17,man older
Sleepless in Seattle,1993,Nora Ephron,5,1,Tom Hanks,Meg Ryan,man,woman,20645,1961-11-19T00:00:00Z,37,32,man older
Sweet Home Alabama,2002,Andy Tennant,5,2,Josh Lucas,Reese Witherspoon,man,woman,26104,1976-03-21T00:00:00Z,31,26,man older
Tag,2018,Jeff Tomsic,5,1,Jon Hamm,Rashida Jones,man,woman,26002,1976-02-25T00:00:00Z,47,42,man older
The Amazing Spider-Man,2012,Marc Webb,5,1,Andrew Garfield,Emma Stone,man,woman,30548,1988-11-06T00:00:00Z,29,24,man older
The Big Sick,2017,Michael Showalter,5,1,Kumail Nanjiani,Zoe Kazan,man,woman,28542,1983-09-09T00:00:00Z,39,34,man older
The Decoy Bride,2011,Sheree Folkson,5,2,David Tennant,Kelly Macdonald,man,woman,26041,1976-02-23T00:00:00Z,40,35,man older
The Dictator,2012,Larry Charles,5,1,Sacha Baron Cohen,Anna Faris,man,woman,26219,1976-11-29T00:00:00Z,41,36,man older
The Good Shepherd,2006,Robert De Niro,5,2,Matt Damon,Angelina Jolie,man,woman,25849,1975-06-04T00:00:00Z,36,31,man older
The Notebook,2004,Nick Cassavetes,5,1,James Marsden,Rachel McAdams,man,woman,26925,1978-11-17T00:00:00Z,31,26,man older
The Royal Tenenbaums,2001,Wes Anderson,5,3,Danny Glover,Anjelica Huston,man,woman,17005,1951-07-08T00:00:00Z,55,50,man older
The Whole Nine Yards,2000,Jonathan Lynn,5,2,Matthew Perry,Natasha Henstridge,man,woman,25434,1974-08-15T00:00:00Z,31,26,man older
The Whole Truth,2016,Courtney Hunt,5,2,Keanu Reeves,Renee Zellweger,man,woman,23622,1969-04-25T00:00:00Z,52,47,man older
Third Person,2013,Paul Haggis,5,3,James Franco,Mila Kunis,man,woman,28599,1983-08-14T00:00:00Z,35,30,man older
When a Man Loves a Woman,1994,Luis Mandoki,5,1,Andy Garcia,Meg Ryan,man,woman,20557,1961-11-19T00:00:00Z,38,33,man older
Win a Date with Tad Hamilton!,2004,Robert Luketic,5,2,Topher Grace,Kate Bosworth,man,woman,28690,1983-01-02T00:00:00Z,26,21,man older
Wonder Woman,2017,Patty Jenkins,5,1,Chris Pine,Gal Gadot,man,woman,29459,1985-04-30T00:00:00Z,37,32,man older
Zombieland,2009,Ruben Fleischer,5,1,Jesse Eisenberg,Emma Stone,man,woman,30594,1988-11-06T00:00:00Z,26,21,man older
Zombieland: Double Tap,2019,Ruben Fleischer,5,3,Jesse Eisenberg,Emma Stone,man,woman,30594,1988-11-06T00:00:00Z,36,31,man older
300,2007,Zack Snyder,4,1,Gerard Butler,Lena Headey,man,woman,25520,1973-10-03T00:00:00Z,38,34,man older
50/50,2011,Jonathan Levine,4,1,Joseph Gordon-Levitt,Anna Kendrick,man,woman,29634,1985-08-09T00:00:00Z,30,26,man older
A Walk in the Clouds,1995,Alfonso Arau,4,1,Keanu Reeves,Aitana Sánchez-Gijón,man,woman,23622,1968-11-05T00:00:00Z,31,27,man older
A Walk in the Clouds,1995,Alfonso Arau,4,2,Keanu Reeves,Debra Messing,man,woman,23622,1968-08-15T00:00:00Z,31,27,man older
All About the Benjamins,2002,Kevin Bray,4,3,Mike Epps,Eva Mendes,man,woman,25890,1974-03-05T00:00:00Z,32,28,man older
All the Pretty Horses,2000,Billy Bob Thornton,4,1,Matt Damon,Penelope Cruz,man,woman,25849,1974-04-28T00:00:00Z,30,26,man older
Along Came Polly,2004,John Hamburg,4,1,Ben Stiller,Jennifer Aniston,man,woman,24076,1969-02-11T00:00:00Z,39,35,man older
American Beauty,1999,Sam Mendes,4,2,Wes Bentley,Thora Birch,man,woman,28737,1982-03-11T00:00:00Z,21,17,man older
Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,4,1,Will Ferrell,Christina Applegate,man,woman,24669,1971-11-25T00:00:00Z,37,33,man older
Avengers: Age of Ultron,2015,Joss Whedon,4,2,Jeremy Renner,Linda Cardellini,man,woman,25940,1975-06-25T00:00:00Z,44,40,man older
Batman Begins,2005,Christopher Nolan,4,1,Christian Bale,Katie Holmes,man,woman,27059,1978-12-18T00:00:00Z,31,27,man older
Broken Hill,2009,Dagen Merrill,4,1,Luke Arnold,Alexa PenaVega,man,woman,30705,1988-08-27T00:00:00Z,25,21,man older
Brooklyn,2015,John Crowley,4,1,Emory Cohen,Saoirse Ronan,man,woman,32945,1994-04-12T00:00:00Z,25,21,man older
Café Society,2016,Woody Allen,4,3,Jesse Eisenberg,Blake Lively,man,woman,30594,1987-08-25T00:00:00Z,33,29,man older
Chicago,2002,Rob Marshall,4,1,John C. Reilly,Renee Zellweger,man,woman,23886,1969-04-25T00:00:00Z,37,33,man older
Chinatown,1974,Roman Polanski,4,1,Jack Nicholson,Faye Dunaway,man,woman,13627,1941-01-14T00:00:00Z,37,33,man older
First Man,2018,Damien Chazelle,4,1,Ryan Gosling,Claire Foy,man,woman,29537,1984-04-16T00:00:00Z,38,34,man older
Funny People,2009,Judd Apatow,4,2,Eric Bana,Leslie Mann,man,woman,25059,1972-03-26T00:00:00Z,41,37,man older
Grosse Pointe Blank,1997,George Armitage,4,1,John Cusack,Minnie Driver,man,woman,24286,1970-01-31T00:00:00Z,31,27,man older
Happy Gilmore,1996,Dennis Dugan,4,1,Adam Sandler,Julie Bowen,man,woman,24359,1970-03-03T00:00:00Z,30,26,man older
Here on Earth,2000,Mark Piznarski,4,2,Chris Klein,Leelee Sobieski,man,woman,28928,1983-06-10T00:00:00Z,21,17,man older
I Think I Love My Wife,2007,Chris Rock,4,2,Chris Rock,Gina Torres,man,woman,23780,1969-04-25T00:00:00Z,42,38,man older
In Time,2011,Andrew Niccol,4,1,Justin Timberlake,Amanda Seyfried,man,woman,29617,1985-12-03T00:00:00Z,30,26,man older
It's Complicated,2009,Nancy Meyers,4,3,Steve Martin,Meryl Streep,man,woman,16663,1949-06-22T00:00:00Z,64,60,man older
Juno,2007,Jason Reitman,4,1,J.K. Simmons,Allison Janney,man,woman,20098,1959-11-19T00:00:00Z,52,48,man older
La Dolce Vita,1960,Federico Fellini,4,1,Marcello Mastroianni,Yvonne Furneaux,man,woman,9038,1928-05-11T00:00:00Z,36,32,man older
Meet the Parents,2000,Jay Roach,4,1,Ben Stiller,Teri Polo,man,woman,24076,1969-06-01T00:00:00Z,35,31,man older
Midsommar,2019,Ari Aster,4,1,Jack Reynor,Florence Pugh,man,woman,33626,1996-01-03T00:00:00Z,27,23,man older
My Best Friend's Wedding,1997,P.J. Hogan,4,2,Dermot Mulroney,Julia Roberts,man,woman,23315,1967-10-28T00:00:00Z,34,30,man older
Sex and the City,2008,Michael Patrick King,4,3,Evan Handler,Kristin Davis,man,woman,22291,1965-02-24T00:00:00Z,47,43,man older
Siberia,2018,Matthew Ross,4,1,Keanu Reeves,Molly Ringwald,man,woman,23622,1968-02-18T00:00:00Z,54,50,man older
The Artist,2011,Michel Hazanavicius,4,1,Jean Dujardin,Berenice Bejo,man,woman,26469,1976-06-07T00:00:00Z,39,35,man older
The Bourne Identity,2002,Doug Liman,4,1,Matt Damon,Franka Potente,man,woman,25849,1974-07-22T00:00:00Z,32,28,man older
The Favourite,2018,Yorgos Lanthimos,4,2,Mark Gatiss,Rachel Weisz,man,woman,24397,1970-03-07T00:00:00Z,52,48,man older
The Good Girl,2002,Miguel Arteta,4,2,John C. Reilly,Jennifer Aniston,man,woman,23886,1969-02-11T00:00:00Z,37,33,man older
The Hudsucker Proxy,1994,Joel Coen,4,1,Tim Robbins,Jennifer Jason Leigh,man,woman,21476,1962-02-05T00:00:00Z,36,32,man older
The Italian Job,2003,F. Gary Gray,4,1,Mark Wahlberg,Charlize Theron,man,woman,26089,1975-08-07T00:00:00Z,32,28,man older
The Princess Bride,1987,Rob Reiner,4,1,Cary Elwes,Robin Wright,man,woman,22945,1966-04-08T00:00:00Z,25,21,man older
The Rock,1996,Michael Bay,4,1,Nicolas Cage,Vanessa Marcil,man,woman,23383,1968-10-15T00:00:00Z,32,28,man older
The Scarlet Letter,1995,Roland Joffé,4,1,Gary Oldman,Demi Moore,man,woman,21265,1962-11-11T00:00:00Z,37,33,man older
The Spanish Prisoner,1997,David Mamet,4,1,Campbell Scott,Rebecca Pidgeon,man,woman,22481,1965-10-10T00:00:00Z,36,32,man older
Twilight,2008,Catherine Hardwicke,4,1,Robert Pattinson,Kristen Stewart,man,woman,31545,1990-04-09T00:00:00Z,22,18,man older
Two Weeks Notice,2002,Marc Lawrence,4,1,Hugh Grant,Sandra Bullock,man,woman,22168,1964-07-26T00:00:00Z,42,38,man older
Walk the Line,2005,James Mangold,4,1,Joaquin Phoenix,Ginnifer Goodwin,man,woman,27330,1978-05-22T00:00:00Z,31,27,man older
Wayne's World,1993,Penelope Spheeris,4,1,Mike Myers,Tia Carrere,man,woman,23126,1967-01-02T00:00:00Z,30,26,man older
We Are Your Friends,2015,Max Joseph,4,1,Zac Efron,Emily Ratajkowski,man,woman,32068,1991-06-07T00:00:00Z,28,24,man older
Whatever Works,2009,Woody Allen,4,3,Henry Cavill,Evan Rachel Wood,man,woman,30441,1987-09-07T00:00:00Z,26,22,man older
A Woman Under the Influence,1974,John Cassavetes,3,1,Peter Falk,Gena Rowlands,man,woman,10121,1930-06-19T00:00:00Z,47,44,man older
Amelia,2009,Mira Nair,3,2,Ewan McGregor,Hilary Swank,man,woman,26023,1974-07-30T00:00:00Z,38,35,man older
American Beauty,1999,Sam Mendes,3,3,Peter Gallagher,Annette Bening,man,woman,20320,1958-05-29T00:00:00Z,44,41,man older
Becoming Jane,2007,Julian Jarrold,3,1,James McAvoy,Anne Hathaway,man,woman,28966,1982-11-12T00:00:00Z,28,25,man older
Bridget Jones's Baby,2016,Sharon Maguire,3,2,Patrick Dempsey,Renee Zellweger,man,woman,24120,1969-04-25T00:00:00Z,50,47,man older
Cinderella,2015,Kenneth Branagh,3,1,Richard Madden,Lily James,man,woman,31581,1989-04-05T00:00:00Z,29,26,man older
Closer,2004,Mike Nichols,3,4,Clive Owen,Julia Roberts,man,woman,23653,1967-10-28T00:00:00Z,40,37,man older
Coyote Ugly,2000,David McNally,3,1,Adam Garcia,Piper Perabo,man,woman,26816,1976-10-31T00:00:00Z,27,24,man older
"Crouching Tiger, Hidden Dragon",2000,Ang Lee,3,2,Chang Chen,Zhang Ziyi,man,woman,28047,1979-02-09T00:00:00Z,24,21,man older
Deadpool,2016,Tim Miller,3,1,Ryan Reynolds,Morena Baccarin,man,woman,28056,1979-06-02T00:00:00Z,40,37,man older
Don Jon,2013,Joseph Gordon-Levitt,3,2,Joseph Gordon-Levitt,Scarlett Johansson,man,woman,29634,1984-11-22T00:00:00Z,32,29,man older
Enemy of the State,1998,Tony Scott,3,2,Will Smith,Regina King,man,woman,25106,1971-01-15T00:00:00Z,30,27,man older
Fight Club,1999,David Fincher,3,2,Brad Pitt,Helena Bonham Carter,man,woman,23363,1966-05-26T00:00:00Z,36,33,man older
Forgetting Sarah Marshall,2008,Nicholas Stoller,3,2,Jason Segel,Mila Kunis,man,woman,29238,1983-08-14T00:00:00Z,28,25,man older
Hacksaw Ridge,2016,Mel Gibson,3,1,Andrew Garfield,Teresa Palmer,man,woman,30548,1986-02-26T00:00:00Z,33,30,man older
His Girl Friday,1940,Howard Hawks,3,1,Cary Grant,Rosalind Russell,man,woman,1479,1907-06-04T00:00:00Z,36,33,man older
I Know What You Did Last Summer,1997,Jim Gillespie,3,2,Ryan Phillippe,Sarah Michelle Gellar,man,woman,27282,1977-04-14T00:00:00Z,23,20,man older
I Know What You Did Last Summer,1997,Jim Gillespie,3,1,Freddie Prinze Jr.,Jennifer Love Hewitt,man,woman,27827,1979-02-21T00:00:00Z,21,18,man older
Idle Hands,1999,Rodman Flender,3,1,Devon Sawa,Jessica Alba,man,woman,28740,1981-04-28T00:00:00Z,21,18,man older
Independence Day: Resurgence,2016,Roland Emmerich,3,1,Liam Hemsworth,Maika Monroe,man,woman,32886,1993-05-29T00:00:00Z,26,23,man older
Inferno,2016,Ron Howard,3,2,Ben Foster,Felicity Jones,man,woman,29523,1983-10-17T00:00:00Z,36,33,man older
Inventing the Abbotts,1997,Pat O'Connor,3,1,Joaquin Phoenix,Liv Tyler,man,woman,27330,1977-07-01T00:00:00Z,23,20,man older
Invincible,2006,Ericson Core,3,1,Mark Wahlberg,Elizabeth Banks,man,woman,26089,1974-02-10T00:00:00Z,35,32,man older
Juno,2007,Jason Reitman,3,2,Jason Bateman,Jennifer Garner,man,woman,25217,1972-04-17T00:00:00Z,38,35,man older
Just Go with It,2011,Dennis Dugan,3,2,Adam Sandler,Jennifer Aniston,man,woman,24359,1969-02-11T00:00:00Z,45,42,man older
Knocked Up,2007,Judd Apatow,3,2,Paul Rudd,Leslie Mann,man,woman,25299,1972-03-26T00:00:00Z,38,35,man older
Les Miserables,2012,Tom Hooper,3,2,Eddie Redmayne,Amanda Seyfried,man,woman,29977,1985-12-03T00:00:00Z,30,27,man older
Liar Liar,1997,Tom Shadyac,3,1,Jim Carrey,Maura Tierney,man,woman,22663,1965-02-03T00:00:00Z,35,32,man older
Made of Honor,2008,Paul Weiland,3,2,Kevin McKidd,Michelle Monaghan,man,woman,26885,1976-03-23T00:00:00Z,35,32,man older
Mickey Blue Eyes,1999,Kelly Makin,3,1,Hugh Grant,Jeanne Tripplehorn,man,woman,22168,1963-06-10T00:00:00Z,39,36,man older
Mirror Mirror,2012,Tarsem Singh,3,1,Armie Hammer,Lily Collins,man,woman,31652,1989-03-18T00:00:00Z,26,23,man older
Mona Lisa Smile,2003,Mike Newell,3,3,Topher Grace,Julia Stiles,man,woman,28690,1981-03-28T00:00:00Z,25,22,man older
Pete's Dragon,2016,David Lowery,3,1,Wes Bentley,Bryce Dallas Howard,man,woman,28737,1981-03-02T00:00:00Z,38,35,man older
Professor Marston and the Wonder Women,2017,Angela Robinson,3,3,Luke Evans,Rebecca Hall,man,woman,28960,1982-05-03T00:00:00Z,38,35,man older
Pushing Tin,1999,Mike Newell,3,4,John Cusack,Cate Blanchett,man,woman,24286,1969-05-14T00:00:00Z,33,30,man older
Robin Hood: Prince of Thieves,1991,Kevin Reynolds,3,1,Kevin Costner,Mary Elizabeth Mastrantonio,man,woman,20107,1958-11-17T00:00:00Z,36,33,man older
She's All That,1999,Robert Iscove,3,1,Freddie Prinze Jr.,Rachael Leigh Cook,man,woman,27827,1979-10-04T00:00:00Z,23,20,man older
"Six Days, Seven Nights",1998,Ivan Reitman,3,2,David Schwimmer,Anne Heche,man,woman,24413,1969-05-25T00:00:00Z,32,29,man older
Soul Food,1997,George Tillman Jr.,3,3,Michael Beach,Gina Ravera,man,woman,23314,1966-05-20T00:00:00Z,34,31,man older
Tag,2018,Jeff Tomsic,3,2,Jeremy Renner,Leslie Bibb,man,woman,25940,1974-11-17T00:00:00Z,47,44,man older
The Beach,2000,Danny Boyle,3,2,Guillaume Canet,Virginie Ledoyen,man,woman,26764,1976-11-15T00:00:00Z,27,24,man older
