id,title_type,title,year,runtime,genre,score,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0075449,TV Movie,Young Pioneers' Christmas,1976,100,Drama,6.9,86,TRUE,FALSE,FALSE,FALSE
tt0075846,TV Movie,"Christmas Miracle in Caufield, U.S.A.",1977,97,Drama,5.8,171,TRUE,FALSE,FALSE,FALSE
tt0075875,Feature Film,Confessions from a Holiday Camp,1977,88,Comedy,4.2,1030,FALSE,FALSE,FALSE,TRUE
tt0075988,TV Movie,Emmet Otter's Jug-Band Christmas,1977,48,Comedy,8.2,4460,TRUE,FALSE,FALSE,FALSE
tt0076213,TV Movie,It Happened One Christmas,1977,109,Comedy,6,969,TRUE,FALSE,FALSE,FALSE
tt0076448,TV Movie,"Nestor, the Long-Eared Christmas Donkey",1977,24,Animation,6.9,2335,TRUE,FALSE,FALSE,FALSE
tt0076783,TV Movie,Sunshine Christmas,1977,120,Drama,7.8,93,TRUE,FALSE,FALSE,FALSE
tt0077281,Feature Film,Blue Christmas,1978,133,Other,6.2,124,TRUE,FALSE,FALSE,FALSE
tt0077333,TV Movie,A Christmas to Remember,1978,100,Drama,6.4,171,TRUE,FALSE,FALSE,FALSE
tt0077465,Feature Film,Where Are You Going on Holiday?,1978,127,Comedy,6.3,563,FALSE,FALSE,FALSE,TRUE
tt0077710,Feature Film,Holiday Hotel,1978,110,Comedy,6,347,FALSE,FALSE,FALSE,TRUE
tt0078132,Feature Film,The Night Before Christmas,1978,100,Drama,6.1,71,TRUE,FALSE,FALSE,FALSE
tt0078764,TV Movie,An American Christmas Carol,1979,98,Drama,6.8,1616,TRUE,FALSE,FALSE,FALSE
tt0078968,TV Movie,Christmas Lilies of the Field,1979,120,Drama,6.5,107,TRUE,FALSE,FALSE,FALSE
tt0079828,TV Movie,Rudolph and Frosty's Christmas in July,1979,97,Other,6.3,2547,TRUE,FALSE,FALSE,FALSE
tt0080531,Feature Film,Christmas Mountain,1981,90,Other,6.5,148,TRUE,FALSE,FALSE,FALSE
tt0080532,TV Movie,A Christmas Without Snow,1980,120,Drama,5.7,401,TRUE,FALSE,FALSE,FALSE
tt0080822,Feature Film,Crazy Swedish Holidays in Paris,1980,94,Comedy,4.7,31,FALSE,FALSE,FALSE,TRUE
tt0081190,TV Movie,Mr. Krueger's Christmas,1980,26,Drama,7.9,1092,TRUE,FALSE,FALSE,FALSE
tt0081340,TV Movie,Pinocchio's Christmas,1980,49,Animation,6.4,752,TRUE,FALSE,FALSE,FALSE
tt0081793,Feature Film,Christmas Evil,1980,100,Other,5.5,8110,TRUE,FALSE,FALSE,FALSE
tt0085231,TV Movie,The Best Christmas Pageant Ever,1983,48,Comedy,7.2,789,TRUE,FALSE,FALSE,FALSE
tt0085282,Feature Film,Bush Christmas,1983,91,Drama,5.2,384,TRUE,FALSE,FALSE,FALSE
tt0085334,Feature Film,A Christmas Story,1983,93,Comedy,7.9,163273,TRUE,FALSE,FALSE,FALSE
tt0085593,TV Movie,The Gift of Love: A Christmas Story,1983,96,Drama,6.7,357,TRUE,FALSE,FALSE,FALSE
tt0085933,Feature Film,Merry Christmas Mr. Lawrence,1983,123,Drama,7.2,19475,TRUE,FALSE,FALSE,FALSE
tt0087056,TV Movie,A Christmas Carol,1984,100,Drama,7.8,17146,TRUE,FALSE,FALSE,FALSE
tt0087548,TV Movie,Kenny & Dolly: A Christmas to Remember,1984,60,Other,8.3,139,TRUE,FALSE,FALSE,FALSE
tt0087797,TV Movie,The Night They Saved Christmas,1984,92,Drama,6.5,1605,TRUE,FALSE,FALSE,FALSE
tt0088106,Feature Film,Merry Christmas,1984,96,Comedy,6.6,170,TRUE,FALSE,FALSE,FALSE
tt0089038,Feature Film,Don't Open Till Christmas,1984,86,Other,4.7,2804,TRUE,FALSE,FALSE,FALSE
tt0089285,Feature Film,Holidays in Amsterdam,1986,87,Drama,5.3,11,FALSE,FALSE,FALSE,TRUE
tt0089731,Feature Film,One Magic Christmas,1985,89,Family,6.4,4233,TRUE,FALSE,FALSE,FALSE
tt0090838,TV Movie,Christmas Eve,1986,93,Drama,7.3,427,TRUE,FALSE,FALSE,FALSE
tt0090839,TV Movie,The Christmas Gift,1986,120,Drama,6.5,768,TRUE,FALSE,FALSE,FALSE
tt0090840,Feature Film,The Christmas Star,1986,94,Drama,6.1,770,TRUE,FALSE,FALSE,FALSE
tt0091975,TV Movie,A Smoky Mountain Christmas,1986,94,Other,6.9,1290,TRUE,FALSE,FALSE,FALSE
tt0092167,Feature Film,Merry Christmas Octopus,1987,92,Comedy,6.8,191,TRUE,FALSE,FALSE,FALSE
tt0092756,TV Movie,Christmas Comes to Willow Creek,1987,93,Drama,6.4,619,TRUE,FALSE,FALSE,FALSE
tt0093198,TV Movie,A Hobo's Christmas,1987,100,Drama,6.4,427,TRUE,FALSE,FALSE,FALSE
tt0093877,TV Movie,Roman Holiday,1987,100,Comedy,5,156,FALSE,FALSE,FALSE,TRUE
tt0094754,TV Movie,Blackadder's Christmas Carol,1988,43,Comedy,7.9,13712,TRUE,FALSE,FALSE,FALSE
tt0094873,TV Movie,The Christmas Wife,1988,73,Drama,6.2,408,TRUE,FALSE,FALSE,FALSE
tt0095107,Feature Film,Ernest Saves Christmas,1988,95,Comedy,5.7,12392,TRUE,FALSE,FALSE,FALSE
tt0095347,TV Movie,I'll Be Home for Christmas,1988,96,Drama,6.5,292,TRUE,FALSE,FALSE,FALSE
tt0095416,TV Movie,Julie Andrews: The Sound of Christmas,1987,48,Family,8.9,125,TRUE,FALSE,FALSE,FALSE
tt0095589,TV Movie,"Marcus Welby, M.D.: A Holiday Affair",1988,100,Drama,6,49,FALSE,FALSE,FALSE,TRUE
tt0096376,TV Movie,A Very Brady Christmas,1988,100,Comedy,5.9,2120,TRUE,FALSE,FALSE,FALSE
tt0097126,Feature Film,Cripples Go Christmas,1987,100,Drama,6.6,14,TRUE,FALSE,FALSE,FALSE
tt0097157,TV Movie,Dark Holiday,1989,100,Drama,5.4,183,FALSE,FALSE,FALSE,TRUE
tt0097601,TV Movie,It Nearly Wasn't Christmas,1989,100,Other,5.7,246,TRUE,FALSE,FALSE,FALSE
tt0097958,Feature Film,National Lampoon's Christmas Vacation,1989,97,Comedy,7.5,209533,TRUE,FALSE,FALSE,FALSE
tt0099263,TV Movie,The Christmas Toy,1986,50,Family,7.8,1404,TRUE,FALSE,FALSE,FALSE
tt0099711,TV Movie,Guess Who's Coming for Christmas?,1990,95,Comedy,5.1,105,TRUE,FALSE,FALSE,FALSE
